epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,16857.7,0.98715,0.78874,1.27524,0.82871,0.81491,0.8504,0.48674,1.53213,0.87785,1.49464,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,17389.4,0.984,0.77513,1.27324,0.88856,0.7679,0.84318,0.49166,1.50461,0.86662,1.47776,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,17923.3,0.98066,0.76979,1.26641,0.85561,0.81671,0.85334,0.4936,1.50759,0.87552,1.48167,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,18454.8,0.97576,0.75809,1.26333,0.85737,0.81924,0.85176,0.49236,1.50025,0.84973,1.47779,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,18987.1,0.97549,0.75196,1.2588,0.87895,0.79999,0.858,0.4909,1.50811,0.84568,1.48392,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,19515.3,0.96362,0.74062,1.25404,0.86266,0.81202,0.86554,0.49471,1.49457,0.83687,1.4643,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,20043.9,0.96661,0.73967,1.25247,0.85448,0.82853,0.8633,0.50423,1.48549,0.83408,1.45245,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
38,20575.3,0.96175,0.73721,1.24687,0.8733,0.81809,0.86533,0.50845,1.48952,0.82543,1.46103,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
39,21106.3,0.95374,0.72387,1.24247,0.86674,0.82034,0.86438,0.5021,1.49832,0.82231,1.46681,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
40,21648.4,0.9476,0.72166,1.2403,0.86114,0.82442,0.86273,0.49831,1.49323,0.82063,1.46466,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
41,22183.5,0.94625,0.71662,1.23479,0.86525,0.8316,0.86248,0.50172,1.49063,0.8185,1.46061,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,22718.2,0.93754,0.70701,1.22939,0.86946,0.82668,0.8651,0.50244,1.48398,0.81296,1.45471,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
43,23252.8,0.93424,0.70263,1.22663,0.86096,0.83072,0.86552,0.50447,1.47887,0.80554,1.44892,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
44,23786.7,0.92502,0.69553,1.22134,0.90161,0.78664,0.86191,0.5088,1.47731,0.80323,1.44797,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525
45,24324.3,0.92242,0.6827,1.21616,0.91434,0.78576,0.86244,0.50758,1.47931,0.8007,1.44797,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
46,24856.1,0.92297,0.68684,1.21469,0.8629,0.82733,0.86359,0.50359,1.4838,0.79957,1.45118,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,25390.7,0.92104,0.67964,1.21668,0.85729,0.83233,0.86369,0.50275,1.485,0.79263,1.45201,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,25922.3,0.91161,0.67315,1.2101,0.86202,0.84038,0.86594,0.50765,1.48283,0.78901,1.45138,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,26460,0.90689,0.66215,1.20657,0.84194,0.84038,0.86495,0.51004,1.48085,0.78369,1.45005,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,26988.4,0.89998,0.65715,1.20277,0.86136,0.82508,0.86592,0.50694,1.48381,0.78364,1.45377,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,27515.2,0.9016,0.65437,1.20074,0.86369,0.81873,0.86464,0.50513,1.49012,0.78443,1.45993,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
52,28050.5,0.8952,0.644,1.19677,0.86997,0.8225,0.86471,0.50361,1.4912,0.77736,1.46573,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
53,28577.2,0.89641,0.65071,1.19489,0.86893,0.82484,0.86744,0.50386,1.49464,0.7754,1.47115,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
54,29106.7,0.89071,0.64412,1.19302,0.86067,0.82935,0.86834,0.50295,1.49354,0.77614,1.46981,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
55,29643.6,0.88149,0.63578,1.18311,0.87764,0.82624,0.86793,0.50173,1.4928,0.77501,1.47193,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
56,30180,0.87402,0.63383,1.18242,0.8791,0.82392,0.86923,0.50381,1.49194,0.77389,1.47404,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
57,30709.5,0.87452,0.62755,1.18099,0.88807,0.82034,0.87018,0.50444,1.48946,0.77445,1.47289,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
58,31244.6,0.86565,0.62296,1.17742,0.89184,0.81935,0.86799,0.50345,1.49119,0.77485,1.4737,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
59,31780.9,0.86991,0.62029,1.17528,0.88403,0.81381,0.86322,0.50085,1.49046,0.77591,1.47416,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
60,32312.5,0.86151,0.61603,1.17339,0.88708,0.81607,0.86589,0.50224,1.49058,0.77266,1.47592,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
61,32844.9,0.85976,0.61167,1.16987,0.87451,0.81832,0.86863,0.5044,1.49126,0.77103,1.47743,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,33376.8,0.85295,0.60513,1.16879,0.87525,0.82057,0.86827,0.50403,1.49045,0.76725,1.47787,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675
63,33906,0.84661,0.59787,1.1647,0.87358,0.82477,0.87097,0.50587,1.48831,0.76578,1.47767,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
64,34440.3,0.84473,0.59435,1.15996,0.86602,0.84015,0.87141,0.50647,1.48579,0.76079,1.47734,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
65,34981.1,0.84282,0.59237,1.16078,0.87526,0.84015,0.87182,0.50681,1.48457,0.759,1.47655,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
66,35522.2,0.84087,0.59176,1.15646,0.86842,0.83564,0.86606,0.50456,1.48337,0.75777,1.47645,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375
67,36052.2,0.83515,0.5848,1.15401,0.87004,0.8367,0.8665,0.50353,1.48221,0.75659,1.47599,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
68,36582.8,0.83335,0.58578,1.15181,0.87019,0.8364,0.86646,0.50641,1.47811,0.75973,1.46924,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725
69,37118,0.82672,0.57826,1.15005,0.87165,0.83574,0.86621,0.50773,1.47589,0.7579,1.4674,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
