                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
57,0.9895,0.7943,1.264,0.839,0.794,0.843,0.495,0.0,0.0,0.0,0.0,0.0,0.0
58,0.9903,0.7984,1.265,0.835,0.798,0.844,0.494,0.0,0.0,0.0,0.0,0.0,0.0
59,0.9883,0.7989,1.262,0.823,0.801,0.845,0.496,0.0,0.0,0.0,0.0,0.0,0.0
60,0.9882,0.7948,1.262,0.82,0.8,0.846,0.496,0.0,0.0,0.0,0.0,0.0,0.0
61,0.9831,0.7805,1.257,0.818,0.805,0.846,0.496,0.0,0.0,0.0,0.0,0.0,0.0
62,0.9846,0.7824,1.258,0.821,0.806,0.845,0.497,0.0,0.0,0.0,0.0,0.0,0.0
63,0.9798,0.7825,1.253,0.825,0.801,0.846,0.498,0.0,0.0,0.0,0.0,0.0,0.0
64,0.9744,0.7694,1.253,0.827,0.803,0.845,0.497,0.0,0.0,0.0,0.0,0.0,0.0
65,0.983,0.7762,1.255,0.824,0.801,0.845,0.5,0.0,0.0,0.0,0.0,0.0,0.0
66,0.9774,0.7675,1.248,0.842,0.802,0.847,0.501,0.0,0.0,0.0,0.0,0.0,0.0
67,0.9771,0.7729,1.253,0.846,0.801,0.847,0.501,0.0,0.0,0.0,0.0,0.0,0.0
68,0.9709,0.7622,1.247,0.851,0.798,0.847,0.499,0.0,0.0,0.0,0.0,0.0,0.0
69,0.9777,0.7646,1.248,0.843,0.799,0.843,0.5,0.0,0.0,0.0,0.0,0.0,0.0
70,0.9689,0.7611,1.244,0.844,0.799,0.846,0.5,0.0,0.0,0.0,0.0,0.0,0.0
71,0.9653,0.7524,1.244,0.842,0.801,0.846,0.499,0.0,0.0,0.0,0.0,0.0,0.0
72,0.9685,0.7518,1.242,0.843,0.794,0.844,0.499,0.0,0.0,0.0,0.0,0.0,0.0
73,0.969,0.7537,1.241,0.839,0.794,0.843,0.498,0.0,0.0,0.0,0.0,0.0,0.0
74,0.9594,0.7479,1.237,0.836,0.794,0.842,0.5,0.0,0.0,0.0,0.0,0.0,0.0
75,0.9628,0.7467,1.237,0.844,0.797,0.843,0.499,0.0,0.0,0.0,0.0,0.0,0.0
76,0.9581,0.7456,1.238,0.841,0.796,0.844,0.501,0.0,0.0,0.0,0.0,0.0,0.0
77,0.9535,0.7385,1.233,0.842,0.795,0.844,0.5,0.0,0.0,0.0,0.0,0.0,0.0
78,0.954,0.7348,1.232,0.839,0.795,0.844,0.501,0.0,0.0,0.0,0.0,0.0,0.0
79,0.9522,0.7371,1.23,0.845,0.798,0.844,0.503,0.0,0.0,0.0,0.0,0.0,0.0
80,0.947,0.7298,1.226,0.843,0.8,0.846,0.504,0.0,0.0,0.0,0.0,0.0,0.0
81,0.9474,0.7297,1.227,0.835,0.813,0.847,0.506,0.0,0.0,0.0,0.0,0.0,0.0
82,0.9452,0.7301,1.228,0.849,0.809,0.851,0.505,0.0,0.0,0.0,0.0,0.0,0.0
83,0.9468,0.7197,1.225,0.847,0.811,0.851,0.506,0.0,0.0,0.0,0.0,0.0,0.0
84,0.9392,0.7126,1.225,0.844,0.811,0.852,0.506,0.0,0.0,0.0,0.0,0.0,0.0
85,0.9444,0.721,1.225,0.843,0.817,0.852,0.504,0.0,0.0,0.0,0.0,0.0,0.0
86,0.9396,0.7106,1.218,0.838,0.813,0.851,0.506,0.0,0.0,0.0,0.0,0.0,0.0
87,0.9389,0.7072,1.218,0.848,0.809,0.851,0.505,0.0,0.0,0.0,0.0,0.0,0.0
88,0.9377,0.7083,1.217,0.842,0.809,0.852,0.505,0.0,0.0,0.0,0.0,0.0,0.0
89,0.9343,0.7025,1.218,0.849,0.809,0.852,0.506,0.0,0.0,0.0,0.0,0.0,0.0
90,0.9311,0.707,1.214,0.855,0.809,0.852,0.504,0.0,0.0,0.0,0.0,0.0,0.0
91,0.9279,0.7048,1.212,0.855,0.807,0.851,0.505,0.0,0.0,0.0,0.0,0.0,0.0
92,0.9251,0.6989,1.213,0.85,0.807,0.851,0.505,0.0,0.0,0.0,0.0,0.0,0.0
93,0.9235,0.7008,1.209,0.85,0.806,0.852,0.505,0.0,0.0,0.0,0.0,0.0,0.0
