epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,22626.9,0.91602,0.69707,1.28079,0.86068,0.82461,0.86846,0.52838,1.42037,0.7636,1.54064,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,23319.3,0.90767,0.69214,1.27507,0.90007,0.7998,0.86202,0.52845,1.41364,0.74254,1.53775,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,24015.1,0.90003,0.67794,1.27262,0.8925,0.79966,0.87359,0.53279,1.40174,0.73739,1.52501,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,24706.1,0.89593,0.67285,1.26695,0.88886,0.83534,0.87827,0.53565,1.39636,0.73213,1.51844,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,25397.1,0.89303,0.66383,1.26245,0.86748,0.85343,0.88149,0.53661,1.39235,0.74169,1.51023,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,26093.3,0.88208,0.66406,1.25335,0.86939,0.84588,0.88159,0.5358,1.39326,0.74111,1.51849,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,26783.2,0.87187,0.64438,1.24328,0.86633,0.8385,0.87911,0.53822,1.3929,0.74142,1.52133,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,27475,0.86496,0.64346,1.24048,0.87915,0.80504,0.87062,0.53379,1.38827,0.74598,1.51975,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,28165.8,0.8626,0.63295,1.23752,0.8758,0.82858,0.88007,0.54066,1.38792,0.74192,1.52149,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,28859.5,0.85326,0.6276,1.23184,0.89456,0.81635,0.87887,0.53708,1.39085,0.73538,1.52266,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,29549.8,0.84786,0.61842,1.22467,0.88725,0.82568,0.87737,0.5359,1.39592,0.73652,1.52564,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,30240.4,0.85026,0.62208,1.22565,0.88586,0.82259,0.87439,0.53655,1.40075,0.73328,1.53086,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,30930.2,0.84011,0.60701,1.21871,0.88096,0.82259,0.87209,0.53605,1.40387,0.73051,1.53302,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,31620.1,0.83343,0.60214,1.21747,0.8838,0.80541,0.86207,0.53439,1.40575,0.73051,1.53465,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,32309.7,0.82959,0.59542,1.2104,0.89607,0.80533,0.86135,0.53378,1.40398,0.73017,1.53688,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,33000.1,0.82191,0.5957,1.2045,0.8779,0.82304,0.86194,0.53717,1.40453,0.72406,1.53918,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,33690.1,0.8138,0.58444,1.20085,0.89964,0.81672,0.86682,0.54094,1.40708,0.71946,1.54094,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,34384.3,0.80704,0.57378,1.19127,0.90401,0.82306,0.87231,0.54126,1.40598,0.71342,1.53846,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,35076,0.80326,0.57048,1.19475,0.89354,0.82345,0.87017,0.53992,1.40226,0.71533,1.53617,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,35767.3,0.79631,0.56465,1.18703,0.89722,0.81874,0.8698,0.54063,1.40181,0.71331,1.53612,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,36458.2,0.79222,0.55989,1.18296,0.87759,0.83235,0.86422,0.53964,1.40156,0.71716,1.53627,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,37148.4,0.7834,0.5538,1.17952,0.89622,0.83114,0.8663,0.53925,1.39992,0.71632,1.53568,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,37837.4,0.78356,0.55324,1.18006,0.87714,0.83244,0.86407,0.53813,1.4018,0.71551,1.53691,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,38527.9,0.77252,0.54219,1.1693,0.87305,0.82663,0.86008,0.53892,1.40257,0.71554,1.53809,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,39217.4,0.76982,0.54003,1.17006,0.872,0.82621,0.8601,0.53931,1.39921,0.71837,1.5383,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,39907.3,0.76325,0.53469,1.1642,0.8807,0.82213,0.85716,0.5392,1.4002,0.72049,1.53837,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,40598,0.75286,0.5314,1.15917,0.87878,0.82663,0.85959,0.54091,1.40046,0.7242,1.53904,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,41287.9,0.7477,0.52077,1.15413,0.87919,0.82906,0.86356,0.5412,1.39519,0.72966,1.53782,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,41978.2,0.74661,0.51448,1.15005,0.87743,0.82889,0.86363,0.54338,1.39596,0.72607,1.54225,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,42671,0.74461,0.51649,1.14903,0.87792,0.82889,0.86451,0.54273,1.39654,0.7303,1.54447,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,43361.6,0.73846,0.51754,1.15124,0.87747,0.83454,0.86588,0.54284,1.3972,0.72754,1.54599,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,44052.5,0.72634,0.50152,1.13642,0.87577,0.83571,0.86341,0.54292,1.3968,0.7269,1.54732,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,44743.5,0.72311,0.49956,1.13263,0.87659,0.83632,0.86291,0.54269,1.39712,0.72591,1.54739,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,45433.6,0.71862,0.48935,1.12712,0.87809,0.8379,0.86333,0.54144,1.39533,0.72194,1.5477,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,46124.6,0.71118,0.49,1.12652,0.86783,0.84501,0.86341,0.54039,1.39657,0.72042,1.55001,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,46815.4,0.70754,0.48122,1.1227,0.87088,0.84971,0.86337,0.53889,1.39437,0.71688,1.5493,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,47506.1,0.70519,0.48126,1.1226,0.87576,0.83872,0.86487,0.53947,1.39498,0.71602,1.55096,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
